season,week,team,is_bye,opponent,home_away,outcome,games_played,wins,losses,ties,record,win_pct,point_diff,final_wins,final_losses,final_ties,made_playoffs,sb_champion
1999,1,ARI,FALSE,PHI,away,W,1,1,0,0,1-0,1,1,6,10,0,FALSE,FALSE
1999,2,ARI,FALSE,MIA,away,L,2,1,1,0,1-1,0.5,-2,6,10,0,FALSE,FALSE
1999,3,ARI,FALSE,SF,home,L,3,1,2,0,1-2,0.3333333333333333,-16,6,10,0,FALSE,FALSE
1999,4,ARI,FALSE,DAL,away,L,4,1,3,0,1-3,0.25,-44,6,10,0,FALSE,FALSE
1999,5,ARI,FALSE,NYG,home,W,5,2,3,0,2-3,0.4,-33,6,10,0,FALSE,FALSE
1999,6,ARI,FALSE,WAS,home,L,6,2,4,0,2-4,0.3333333333333333,-47,6,10,0,FALSE,FALSE
1999,7,ARI,TRUE,NA,NA,NA,6,2,4,0,2-4,0.3333333333333333,-47,6,10,0,FALSE,FALSE
1999,8,ARI,FALSE,NE,home,L,7,2,5,0,2-5,0.2857142857142857,-71,6,10,0,FALSE,FALSE
1999,9,ARI,FALSE,NYJ,away,L,8,2,6,0,2-6,0.25,-76,6,10,0,FALSE,FALSE
1999,10,ARI,FALSE,DET,home,W,9,3,6,0,3-6,0.3333333333333333,-72,6,10,0,FALSE,FALSE
1999,11,ARI,FALSE,DAL,home,W,10,4,6,0,4-6,0.4,-68,6,10,0,FALSE,FALSE
1999,12,ARI,FALSE,NYG,away,W,11,5,6,0,5-6,0.45454545454545453,-58,6,10,0,FALSE,FALSE
1999,13,ARI,FALSE,PHI,home,W,12,6,6,0,6-6,0.5,-54,6,10,0,FALSE,FALSE
1999,14,ARI,FALSE,WAS,away,L,13,6,7,0,6-7,0.46153846153846156,-79,6,10,0,FALSE,FALSE
1999,15,ARI,FALSE,BUF,home,L,14,6,8,0,6-8,0.42857142857142855,-89,6,10,0,FALSE,FALSE
1999,16,ARI,FALSE,ATL,away,L,15,6,9,0,6-9,0.4,-112,6,10,0,FALSE,FALSE
1999,17,ARI,FALSE,GB,away,L,16,6,10,0,6-10,0.375,-137,6,10,0,FALSE,FALSE
1999,1,ATL,FALSE,MIN,home,L,1,0,1,0,0-1,0,-3,5,11,0,FALSE,FALSE
1999,2,ATL,FALSE,DAL,away,L,2,0,2,0,0-2,0,-20,5,11,0,FALSE,FALSE
1999,3,ATL,FALSE,STL,away,L,3,0,3,0,0-3,0,-48,5,11,0,FALSE,FALSE
1999,4,ATL,FALSE,BAL,home,L,4,0,4,0,0-4,0,-54,5,11,0,FALSE,FALSE
1999,5,ATL,FALSE,NO,away,W,5,1,4,0,1-4,0.2,-51,5,11,0,FALSE,FALSE
1999,6,ATL,FALSE,STL,home,L,6,1,5,0,1-5,0.16666666666666666,-79,5,11,0,FALSE,FALSE
1999,7,ATL,FALSE,PIT,away,L,7,1,6,0,1-6,0.14285714285714285,-83,5,11,0,FALSE,FALSE
1999,8,ATL,FALSE,CAR,home,W,8,2,6,0,2-6,0.25,-76,5,11,0,FALSE,FALSE
1999,9,ATL,FALSE,JAX,home,L,9,2,7,0,2-7,0.2222222222222222,-99,5,11,0,FALSE,FALSE
1999,10,ATL,TRUE,NA,NA,NA,9,2,7,0,2-7,0.2222222222222222,-99,5,11,0,FALSE,FALSE
1999,11,ATL,FALSE,TB,away,L,10,2,8,0,2-8,0.2,-108,5,11,0,FALSE,FALSE
1999,12,ATL,FALSE,CAR,away,L,11,2,9,0,2-9,0.18181818181818182,-114,5,11,0,FALSE,FALSE
1999,13,ATL,FALSE,NO,home,W,12,3,9,0,3-9,0.25,-91,5,11,0,FALSE,FALSE
1999,14,ATL,FALSE,SF,away,L,13,3,10,0,3-10,0.23076923076923078,-110,5,11,0,FALSE,FALSE
1999,15,ATL,FALSE,TEN,away,L,14,3,11,0,3-11,0.21428571428571427,-123,5,11,0,FALSE,FALSE
1999,16,ATL,FALSE,ARI,home,W,15,4,11,0,4-11,0.26666666666666666,-100,5,11,0,FALSE,FALSE
1999,17,ATL,FALSE,SF,home,W,16,5,11,0,5-11,0.3125,-95,5,11,0,FALSE,FALSE
1999,1,BAL,FALSE,STL,away,L,1,0,1,0,0-1,0,-17,8,8,0,FALSE,FALSE
1999,2,BAL,FALSE,PIT,home,L,2,0,2,0,0-2,0,-20,8,8,0,FALSE,FALSE
1999,3,BAL,FALSE,CLE,home,W,3,1,2,0,1-2,0.3333333333333333,-13,8,8,0,FALSE,FALSE
1999,4,BAL,FALSE,ATL,away,W,4,2,2,0,2-2,0.5,-7,8,8,0,FALSE,FALSE
1999,5,BAL,FALSE,TEN,away,L,5,2,3,0,2-3,0.4,-10,8,8,0,FALSE,FALSE
1999,6,BAL,TRUE,NA,NA,NA,5,2,3,0,2-3,0.4,-10,8,8,0,FALSE,FALSE
1999,7,BAL,FALSE,KC,home,L,6,2,4,0,2-4,0.3333333333333333,-37,8,8,0,FALSE,FALSE
1999,8,BAL,FALSE,BUF,home,L,7,2,5,0,2-5,0.2857142857142857,-40,8,8,0,FALSE,FALSE
1999,9,BAL,FALSE,CLE,away,W,8,3,5,0,3-5,0.375,-8,8,8,0,FALSE,FALSE
1999,10,BAL,FALSE,JAX,away,L,9,3,6,0,3-6,0.3333333333333333,-11,8,8,0,FALSE,FALSE
1999,11,BAL,FALSE,CIN,away,W,10,4,6,0,4-6,0.4,-8,8,8,0,FALSE,FALSE
1999,12,BAL,FALSE,JAX,home,L,11,4,7,0,4-7,0.36363636363636365,-15,8,8,0,FALSE,FALSE
1999,13,BAL,FALSE,TEN,home,W,12,5,7,0,5-7,0.4166666666666667,12,8,8,0,FALSE,FALSE
1999,14,BAL,FALSE,PIT,away,W,13,6,7,0,6-7,0.46153846153846156,19,8,8,0,FALSE,FALSE
1999,15,BAL,FALSE,NO,home,W,14,7,7,0,7-7,0.5,42,8,8,0,FALSE,FALSE
1999,16,BAL,FALSE,CIN,home,W,15,8,7,0,8-7,0.5333333333333333,64,8,8,0,FALSE,FALSE
1999,17,BAL,FALSE,NE,away,L,16,8,8,0,8-8,0.5,47,8,8,0,FALSE,FALSE
1999,1,BUF,FALSE,IND,away,L,1,0,1,0,0-1,0,-17,11,5,0,TRUE,FALSE
1999,2,BUF,FALSE,NYJ,home,W,2,1,1,0,1-1,0.5,-3,11,5,0,TRUE,FALSE
