base_state,outs_bucket,inning_bucket,score_bucket,n_bunts,success_rate
2nd + 3rd,0 Outs,Late,Tied,24,0.75
2nd + 3rd,0 Outs,Early,Tied,22,0.7272727272727273
3rd Only,0 Outs,Early,Tied,17,0.7058823529411765
2nd + 3rd,0 Outs,Early,1 Run Game,19,0.6842105263157895
2nd + 3rd,0 Outs,Late,1 Run Game,24,0.6666666666666666
2nd + 3rd,0 Outs,Late,2+ Run Game,30,0.6666666666666666
2nd + 3rd,0 Outs,Middle,Tied,23,0.6086956521739131
2nd + 3rd,0 Outs,Early,2+ Run Game,15,0.6
2nd + 3rd,0 Outs,Middle,1 Run Game,28,0.5714285714285714
2nd + 3rd,0 Outs,Middle,2+ Run Game,37,0.5675675675675675
3rd Only,0 Outs,Middle,2+ Run Game,22,0.5454545454545454
1st + 2nd,0 Outs,Middle,2+ Run Game,15,0.5333333333333333
3rd Only,0 Outs,Middle,Tied,17,0.5294117647058824
3rd Only,0 Outs,Middle,1 Run Game,19,0.47368421052631576
2nd Only,0 Outs,Late,Tied,41,0.4146341463414634
1st + 2nd,0 Outs,Early,Tied,17,0.4117647058823529
2nd Only,0 Outs,Middle,Tied,23,0.391304347826087
2nd Only,0 Outs,Late,2+ Run Game,36,0.3888888888888889
1st + 2nd,0 Outs,Late,1 Run Game,15,0.3333333333333333
2nd Only,0 Outs,Early,Tied,22,0.3181818181818182
2nd Only,0 Outs,Middle,2+ Run Game,32,0.28125
2nd Only,0 Outs,Middle,1 Run Game,36,0.2777777777777778
2nd Only,0 Outs,Late,1 Run Game,55,0.2727272727272727
2nd Only,0 Outs,Early,1 Run Game,19,0.2631578947368421
